human,model,pseudo_lb,greedy,linear_program
0.943125,0.434375,0.9927083333333333,0.9504166666666667,0.9158333333333334
0.943125,0.434375,0.9929166666666667,0.9602083333333333,0.91125
0.943125,0.434375,0.9935416666666667,0.9575,0.9225
0.943125,0.434375,0.9939583333333334,0.9614583333333333,0.9158333333333334
0.943125,0.434375,0.991875,0.9341666666666667,0.921875
0.943125,0.434375,0.9933333333333333,0.9620833333333333,0.923125
0.943125,0.434375,0.9927083333333333,0.9533333333333334,0.9129166666666667
0.943125,0.434375,0.9864583333333333,0.9310416666666667,0.9220833333333334
0.943125,0.434375,0.99375,0.933125,0.9120833333333334
0.943125,0.434375,0.9883333333333333,0.9516666666666667,0.9189583333333333
