human,model,pseudo_lb,greedy,linear_program
0.943125,0.434375,0.995625,0.9441666666666667,0.9414583333333333
0.943125,0.434375,0.995625,0.940625,0.94875
0.943125,0.434375,0.9954166666666666,0.9414583333333333,0.9422916666666666
0.943125,0.434375,0.9954166666666666,0.9333333333333333,0.9320833333333334
0.943125,0.434375,0.9947916666666666,0.9414583333333333,0.94625
0.943125,0.434375,0.9960416666666667,0.9304166666666667,0.9333333333333333
0.943125,0.434375,0.9954166666666666,0.9597916666666667,0.945
0.943125,0.434375,0.9925,0.9433333333333334,0.95375
0.943125,0.434375,0.996875,0.9447916666666667,0.9439583333333333
0.943125,0.434375,0.9952083333333334,0.938125,0.944375
