human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.943125,0.434375,0.988125,0.8710416666666667,0.9402083333333333,0.7925,0.999375
0.943125,0.434375,0.988125,0.8633333333333333,0.944375,0.793125,0.999375
0.943125,0.434375,0.988125,0.8677083333333333,0.94125,0.7945833333333333,0.999375
0.943125,0.434375,0.988125,0.8658333333333333,0.9333333333333333,0.7939583333333333,0.999375
0.943125,0.434375,0.988125,0.876875,0.9372916666666666,0.7922916666666666,0.999375
0.943125,0.434375,0.988125,0.8685416666666667,0.939375,0.7920833333333334,0.999375
0.943125,0.434375,0.988125,0.8697916666666666,0.9364583333333333,0.7939583333333333,0.999375
0.943125,0.434375,0.988125,0.8739583333333333,0.9347916666666667,0.7929166666666667,0.999375
0.943125,0.434375,0.988125,0.8652083333333334,0.9352083333333333,0.7935416666666667,0.999375
0.943125,0.434375,0.988125,0.8754166666666666,0.940625,0.7933333333333333,0.999375
