human,model,pseudo_lb,greedy,linear_program
0.943125,0.434375,0.9879166666666667,0.9675,0.9439583333333333
0.943125,0.434375,0.99125,0.9672916666666667,0.9458333333333333
0.943125,0.434375,0.98875,0.96625,0.9433333333333334
0.943125,0.434375,0.9883333333333333,0.9679166666666666,0.94625
0.943125,0.434375,0.9860416666666667,0.965625,0.94375
0.943125,0.434375,0.9904166666666666,0.9641666666666666,0.941875
0.943125,0.434375,0.9864583333333333,0.9660416666666667,0.9439583333333333
0.943125,0.434375,0.9910416666666667,0.963125,0.945625
0.943125,0.434375,0.989375,0.966875,0.945
0.943125,0.434375,0.9877083333333333,0.9660416666666667,0.945
