human,model,pseudo_lb,greedy,linear_program
0.9010416666666666,0.434375,0.9304166666666667,0.9025,0.6252083333333334
0.9010416666666666,0.434375,0.9254166666666667,0.9033333333333333,0.6627083333333333
0.9010416666666666,0.434375,0.9247916666666667,0.8945833333333333,0.6327083333333333
0.9010416666666666,0.434375,0.925,0.903125,0.6302083333333334
0.9010416666666666,0.434375,0.9214583333333334,0.9110416666666666,0.6260416666666667
0.9010416666666666,0.434375,0.9252083333333333,0.8958333333333334,0.6533333333333333
0.9010416666666666,0.434375,0.925625,0.8847916666666666,0.618125
0.9010416666666666,0.434375,0.9266666666666666,0.90875,0.6652083333333333
0.9010416666666666,0.434375,0.928125,0.9060416666666666,0.6302083333333334
0.9010416666666666,0.434375,0.92625,0.8970833333333333,0.6558333333333334
