human,model,check_all
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
0.9010416666666666,0.434375,0.9595833333333333
