human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.8915,0.828,0.9059,0.9071,0.9174
0.7052,0.5674,0.8851,0.8231,0.906,0.9076,0.9193
0.7052,0.5674,0.8942,0.8251,0.8986,0.8992,0.9174
0.7052,0.5674,0.8803,0.8223,0.9005,0.9015,0.9179
0.7052,0.5674,0.8892,0.8248,0.8987,0.9031,0.919
0.7052,0.5674,0.8793,0.8286,0.8997,0.9047,0.9178
0.7052,0.5674,0.8941,0.8173,0.9014,0.9003,0.9179
0.7052,0.5674,0.8907,0.8234,0.9015,0.9043,0.9195
0.7052,0.5674,0.8914,0.8255,0.8982,0.9032,0.9167
0.7052,0.5674,0.8933,0.8269,0.901,0.9031,0.917
