human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8553,0.5674,0.9821,0.8755,0.9642,0.9416,0.9952
0.8553,0.5674,0.9822,0.8711,0.9658,0.9421,0.9957
0.8553,0.5674,0.9831,0.8752,0.967,0.9423,0.9957
0.8553,0.5674,0.9832,0.8722,0.9614,0.9406,0.9958
0.8553,0.5674,0.9834,0.8748,0.9658,0.9406,0.9957
0.8553,0.5674,0.9829,0.8719,0.9653,0.9452,0.9957
0.8553,0.5674,0.9827,0.8748,0.9632,0.9474,0.9959
0.8553,0.5674,0.9825,0.871,0.9654,0.9425,0.9956
0.8553,0.5674,0.9822,0.8762,0.9634,0.9406,0.9956
0.8553,0.5674,0.9821,0.8709,0.9646,0.9424,0.9955
