human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9545,0.8659,0.9637,0.9545,0.987
0.9203,0.5674,0.9576,0.8649,0.9631,0.9386,0.987
0.9203,0.5674,0.954,0.8665,0.9621,0.9423,0.9868
0.9203,0.5674,0.9579,0.8588,0.9617,0.9382,0.9873
0.9203,0.5674,0.9548,0.8652,0.9638,0.9435,0.9865
0.9203,0.5674,0.952,0.8601,0.9627,0.9373,0.987
0.9203,0.5674,0.9537,0.8598,0.9648,0.9328,0.9859
0.9203,0.5674,0.9497,0.8688,0.9621,0.956,0.9864
0.9203,0.5674,0.9543,0.8647,0.9596,0.9463,0.9848
0.9203,0.5674,0.9555,0.8672,0.963,0.9572,0.9866
