human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9494,0.8775,0.9712,0.9723,0.987
0.9203,0.5674,0.9494,0.8757,0.9713,0.9711,0.9869
0.9203,0.5674,0.9493,0.874,0.9715,0.9721,0.987
0.9203,0.5674,0.9492,0.8703,0.9722,0.9712,0.987
0.9203,0.5674,0.9494,0.8735,0.973,0.9711,0.987
0.9203,0.5674,0.9494,0.8752,0.9718,0.9712,0.987
0.9203,0.5674,0.9494,0.8786,0.974,0.9715,0.987
0.9203,0.5674,0.9492,0.8737,0.9731,0.9717,0.987
0.9203,0.5674,0.9494,0.8763,0.9739,0.9718,0.987
0.9203,0.5674,0.9494,0.8785,0.9726,0.9718,0.987
