human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8553,0.5674,0.9837,0.8761,0.9695,0.9434,0.9959
0.8553,0.5674,0.9837,0.8874,0.9657,0.9434,0.9959
0.8553,0.5674,0.9837,0.8718,0.9647,0.944,0.9959
0.8553,0.5674,0.9837,0.8746,0.964,0.9441,0.9959
0.8553,0.5674,0.9836,0.8774,0.9679,0.9439,0.9959
0.8553,0.5674,0.9836,0.8774,0.9653,0.9432,0.9959
0.8553,0.5674,0.9836,0.874,0.9637,0.9436,0.9959
0.8553,0.5674,0.9837,0.8828,0.9691,0.9426,0.9959
0.8553,0.5674,0.9837,0.8729,0.9651,0.9436,0.9959
0.8553,0.5674,0.9837,0.8758,0.9651,0.9435,0.9959
