human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9495,0.8746,0.9719,0.9679,0.9875
0.9203,0.5674,0.9491,0.8759,0.9716,0.971,0.9867
0.9203,0.5674,0.9518,0.8712,0.9708,0.9654,0.9879
0.9203,0.5674,0.9484,0.8709,0.9726,0.9716,0.9867
0.9203,0.5674,0.9528,0.8786,0.9717,0.9715,0.9881
0.9203,0.5674,0.9482,0.8764,0.9713,0.9704,0.9871
0.9203,0.5674,0.9502,0.8719,0.9725,0.9716,0.9874
0.9203,0.5674,0.9498,0.8735,0.9718,0.9707,0.9872
0.9203,0.5674,0.9511,0.8684,0.9715,0.9706,0.987
0.9203,0.5674,0.9482,0.8746,0.971,0.9697,0.9863
