human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8984,0.5674,0.9157,0.8803,0.9411,0.9274,0.938
0.8984,0.5674,0.9157,0.8829,0.9433,0.9274,0.938
0.8984,0.5674,0.9157,0.8809,0.9443,0.9274,0.938
0.8984,0.5674,0.9159,0.8818,0.9414,0.929,0.9381
0.8984,0.5674,0.9157,0.8779,0.9424,0.9274,0.938
0.8984,0.5674,0.9157,0.8877,0.9414,0.9274,0.938
0.8984,0.5674,0.9157,0.8774,0.9415,0.9274,0.938
0.8984,0.5674,0.9157,0.884,0.9421,0.9274,0.938
0.8984,0.5674,0.9157,0.885,0.941,0.9274,0.938
0.8984,0.5674,0.9157,0.8799,0.9418,0.9274,0.938
