human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8553,0.5674,0.9831,0.8617,0.95,0.9152,0.9946
0.8553,0.5674,0.9817,0.864,0.9539,0.9228,0.9949
0.8553,0.5674,0.9769,0.8641,0.9529,0.9248,0.9943
0.8553,0.5674,0.9824,0.8659,0.952,0.9191,0.995
0.8553,0.5674,0.9806,0.8597,0.946,0.9146,0.9942
0.8553,0.5674,0.9762,0.8615,0.9525,0.9164,0.9942
0.8553,0.5674,0.9763,0.8603,0.9525,0.9217,0.9942
0.8553,0.5674,0.983,0.86,0.9517,0.902,0.9952
0.8553,0.5674,0.9786,0.8684,0.9519,0.932,0.9947
0.8553,0.5674,0.9782,0.8666,0.9501,0.913,0.995
