human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.8764,0.81,0.8902,0.891,0.9132
0.7052,0.5674,0.8821,0.8072,0.8829,0.8826,0.9154
0.7052,0.5674,0.8586,0.8073,0.8772,0.8797,0.9133
0.7052,0.5674,0.8737,0.8107,0.8831,0.8843,0.9124
0.7052,0.5674,0.8821,0.8084,0.8813,0.883,0.9147
0.7052,0.5674,0.874,0.8073,0.8814,0.8796,0.9122
0.7052,0.5674,0.8882,0.8107,0.8828,0.8862,0.9153
0.7052,0.5674,0.8736,0.8126,0.888,0.8891,0.9144
0.7052,0.5674,0.8834,0.8093,0.8796,0.8833,0.914
0.7052,0.5674,0.888,0.8054,0.8833,0.8814,0.9164
