human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9528,0.847,0.9495,0.9225,0.9851
0.9203,0.5674,0.952,0.8495,0.9518,0.9127,0.9867
0.9203,0.5674,0.9654,0.8478,0.9488,0.8972,0.988
0.9203,0.5674,0.9568,0.8456,0.9487,0.9119,0.9844
0.9203,0.5674,0.9566,0.8518,0.9491,0.9186,0.9864
0.9203,0.5674,0.9541,0.8425,0.949,0.8971,0.9866
0.9203,0.5674,0.9508,0.8498,0.9519,0.9148,0.9864
0.9203,0.5674,0.9494,0.8516,0.9495,0.8991,0.983
0.9203,0.5674,0.9502,0.8481,0.9553,0.9214,0.9832
0.9203,0.5674,0.9558,0.8493,0.9517,0.9157,0.9855
