human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8984,0.5674,0.9157,0.8823,0.9419,0.9274,0.938
0.8984,0.5674,0.9156,0.8831,0.9423,0.9273,0.9379
0.8984,0.5674,0.9157,0.8833,0.9422,0.9274,0.938
0.8984,0.5674,0.9156,0.8826,0.9404,0.9274,0.9379
0.8984,0.5674,0.9157,0.8838,0.9456,0.9274,0.938
0.8984,0.5674,0.9157,0.8797,0.9434,0.9274,0.938
0.8984,0.5674,0.9157,0.8814,0.9413,0.9274,0.938
0.8984,0.5674,0.9157,0.8823,0.9433,0.9273,0.938
0.8984,0.5674,0.9157,0.8809,0.943,0.9274,0.938
0.8984,0.5674,0.9157,0.8845,0.9413,0.9274,0.938
