human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.8764,0.8181,0.8867,0.8897,0.9132
0.7052,0.5674,0.8802,0.8127,0.8856,0.8852,0.9143
0.7052,0.5674,0.8709,0.8094,0.8793,0.8834,0.9145
0.7052,0.5674,0.8746,0.8101,0.8837,0.8854,0.9157
0.7052,0.5674,0.8787,0.812,0.8841,0.8876,0.9155
0.7052,0.5674,0.8822,0.8045,0.8846,0.8852,0.9129
0.7052,0.5674,0.8831,0.8046,0.8825,0.8861,0.9152
0.7052,0.5674,0.8713,0.8057,0.8841,0.8819,0.9136
0.7052,0.5674,0.8971,0.815,0.8893,0.887,0.9171
0.7052,0.5674,0.8681,0.8076,0.8813,0.8806,0.9121
