human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9494,0.8769,0.9749,0.9709,0.987
0.9203,0.5674,0.9494,0.8739,0.9744,0.9714,0.987
0.9203,0.5674,0.9494,0.8729,0.9701,0.9705,0.987
0.9203,0.5674,0.9495,0.8749,0.9722,0.9715,0.987
0.9203,0.5674,0.9494,0.8747,0.9736,0.9715,0.987
0.9203,0.5674,0.9494,0.8759,0.9717,0.9715,0.987
0.9203,0.5674,0.9492,0.8701,0.9734,0.9711,0.987
0.9203,0.5674,0.9494,0.8769,0.9743,0.9712,0.987
0.9203,0.5674,0.9494,0.8731,0.973,0.9715,0.987
0.9203,0.5674,0.9494,0.8724,0.9741,0.971,0.987
