human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9545,0.8639,0.9598,0.9547,0.987
0.9203,0.5674,0.9511,0.8672,0.9647,0.9518,0.9876
0.9203,0.5674,0.9602,0.8642,0.962,0.9567,0.9875
0.9203,0.5674,0.9508,0.8602,0.9652,0.9491,0.9867
0.9203,0.5674,0.9501,0.8642,0.9658,0.945,0.9857
0.9203,0.5674,0.9548,0.8617,0.963,0.9435,0.9871
0.9203,0.5674,0.9511,0.8592,0.9625,0.9572,0.9857
0.9203,0.5674,0.9544,0.8618,0.9628,0.9307,0.9873
0.9203,0.5674,0.9568,0.8625,0.9635,0.9274,0.9874
0.9203,0.5674,0.9494,0.8658,0.9608,0.9478,0.9865
