human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9528,0.8498,0.9493,0.9229,0.9851
0.9203,0.5674,0.9527,0.8491,0.9478,0.9037,0.9831
0.9203,0.5674,0.9511,0.8511,0.949,0.9122,0.9842
0.9203,0.5674,0.9489,0.847,0.9515,0.8941,0.9831
0.9203,0.5674,0.9542,0.8494,0.9487,0.8951,0.9845
0.9203,0.5674,0.9588,0.8473,0.9493,0.9058,0.9873
0.9203,0.5674,0.9622,0.8433,0.9522,0.9009,0.9883
0.9203,0.5674,0.9593,0.8416,0.9472,0.8989,0.9882
0.9203,0.5674,0.9564,0.8471,0.9461,0.8997,0.9876
0.9203,0.5674,0.9598,0.8508,0.9501,0.8899,0.9873
