human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.9037,0.8367,0.9166,0.9183,0.922
0.7052,0.5674,0.9037,0.8338,0.9136,0.9216,0.9219
0.7052,0.5674,0.9037,0.8344,0.9162,0.9199,0.9217
0.7052,0.5674,0.9037,0.838,0.9157,0.9212,0.922
0.7052,0.5674,0.9035,0.8411,0.9162,0.9207,0.9217
0.7052,0.5674,0.904,0.8359,0.9128,0.9194,0.922
0.7052,0.5674,0.9037,0.8372,0.9161,0.919,0.9221
0.7052,0.5674,0.9036,0.8336,0.9157,0.9221,0.922
0.7052,0.5674,0.9035,0.837,0.9179,0.9209,0.9216
0.7052,0.5674,0.9037,0.8381,0.916,0.9181,0.9219
