human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.8915,0.8237,0.902,0.9066,0.9167
0.7052,0.5674,0.878,0.8269,0.9059,0.9081,0.918
0.7052,0.5674,0.8905,0.8247,0.9075,0.9056,0.9194
0.7052,0.5674,0.8807,0.8265,0.9069,0.9058,0.9163
0.7052,0.5674,0.8887,0.8256,0.9011,0.9019,0.9171
0.7052,0.5674,0.8908,0.8219,0.9009,0.9037,0.9181
0.7052,0.5674,0.8968,0.8222,0.8997,0.9024,0.917
0.7052,0.5674,0.8917,0.8222,0.902,0.904,0.9175
0.7052,0.5674,0.8857,0.8237,0.8966,0.8949,0.9192
0.7052,0.5674,0.8824,0.8217,0.9037,0.9032,0.9173
