human,model,pseudo_lb,eamc,check_all
0.91875,0.434375,0.97375,0.8758333333333334,0.8089583333333333
0.91875,0.434375,0.9689583333333334,0.8702083333333334,0.651875
0.91875,0.434375,0.976875,0.854375,0.5920833333333333
0.91875,0.434375,0.970625,0.8602083333333334,0.5570833333333334
0.91875,0.434375,0.9754166666666667,0.8622916666666667,0.69625
0.91875,0.434375,0.9752083333333333,0.879375,0.7689583333333333
0.91875,0.434375,0.9733333333333334,0.8670833333333333,0.6520833333333333
0.91875,0.434375,0.9714583333333333,0.8675,0.6910416666666667
0.91875,0.434375,0.9766666666666667,0.8625,0.7058333333333333
0.91875,0.434375,0.96875,0.8747916666666666,0.8033333333333333
