0,1,2,3,4,5,6,7,8,9,true_labels,filenames
47,0,0,0,0,0,0,0,3,0,0,stealth_bomber_s_001550.png
51,0,0,0,0,0,0,0,0,0,0,twinjet_s_000413.png
0,0,0,0,0,0,0,1,52,0,8,powerboat_s_002244.png
0,0,12,12,21,4,1,2,0,0,2,flightless_bird_s_000604.png
48,1,0,0,0,0,0,0,1,0,0,fighter_s_000145.png
0,0,0,0,0,0,0,0,0,51,9,dump_truck_s_000331.png
0,0,53,0,0,0,0,0,0,0,2,ostrich_s_000517.png
0,0,0,1,1,2,48,0,0,0,6,leopard_frog_s_001770.png
0,0,0,0,0,55,0,0,0,0,5,toy_spaniel_s_001369.png
0,0,0,0,40,1,0,11,0,0,4,cervus_unicolor_s_000243.png
0,0,47,1,0,0,2,0,0,0,2,honey_eater_s_000779.png
0,0,0,0,0,0,50,0,0,1,6,leopard_frog_s_000262.png
0,0,0,0,1,0,0,0,1,49,9,semi_s_001569.png
0,0,0,1,0,0,0,0,1,51,9,moving_van_s_000143.png
0,0,0,0,0,0,0,0,52,0,8,sea_boat_s_001284.png
0,0,51,0,0,0,0,0,0,0,2,pipit_s_000439.png
0,0,0,0,51,0,0,1,0,0,4,sambar_s_000992.png
0,0,0,0,0,0,0,0,53,0,8,pleasure_craft_s_001549.png
0,0,0,0,0,1,0,0,0,57,9,trucking_rig_s_001660.png
0,0,0,0,0,0,0,0,0,50,9,transporter_s_000075.png
0,0,0,0,0,0,52,0,0,0,6,bufo_s_001074.png
0,0,0,0,0,0,1,1,0,52,9,trailer_truck_s_001094.png
0,0,0,0,0,51,0,0,0,0,5,pekingese_s_002612.png
0,0,0,0,46,0,0,4,0,0,4,capreolus_capreolus_s_001512.png
0,0,0,0,48,0,1,1,0,0,4,fawn_s_000971.png
0,0,0,0,0,1,0,0,0,51,9,dumper_s_000675.png
1,0,0,0,0,0,0,0,49,0,8,cargo_ship_s_001858.png
0,0,0,1,1,1,47,0,0,0,6,american_toad_s_001103.png
