human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.943125,0.434375,0.9879166666666667,0.8579166666666667,0.9197916666666667,0.6733333333333333,0.999375
0.943125,0.434375,0.9875,0.8560416666666667,0.918125,0.6952083333333333,0.999375
0.943125,0.434375,0.9870833333333333,0.8522916666666667,0.9197916666666667,0.6835416666666667,0.9989583333333333
0.943125,0.434375,0.9883333333333333,0.8645833333333334,0.924375,0.675625,0.9991666666666666
0.943125,0.434375,0.9916666666666667,0.863125,0.92125,0.72125,0.999375
0.943125,0.434375,0.98875,0.8520833333333333,0.924375,0.665625,0.9991666666666666
0.943125,0.434375,0.98875,0.86,0.9183333333333333,0.6664583333333334,0.9991666666666666
0.943125,0.434375,0.9870833333333333,0.8547916666666666,0.9175,0.6495833333333333,0.9991666666666666
0.943125,0.434375,0.9875,0.866875,0.9279166666666666,0.6995833333333333,0.999375
0.943125,0.434375,0.9877083333333333,0.8577083333333333,0.921875,0.7164583333333333,0.999375
