human,model,linear_program,pseudo_lb,greedy
0.9010416666666666,0.434375,0.8997916666666667,0.9304166666666667,0.4947916666666667
0.9010416666666666,0.434375,0.886875,0.925625,0.9035416666666667
0.9010416666666666,0.434375,0.878125,0.9170833333333334,0.43625
0.9010416666666666,0.434375,0.8935416666666667,0.9252083333333333,0.9122916666666666
0.9010416666666666,0.434375,0.8829166666666667,0.9329166666666666,0.8997916666666667
0.9010416666666666,0.434375,0.8766666666666667,0.9272916666666666,0.43666666666666665
0.9010416666666666,0.434375,0.898125,0.9235416666666667,0.43625
0.9010416666666666,0.434375,0.8914583333333334,0.9214583333333334,0.8914583333333334
0.9010416666666666,0.434375,0.903125,0.9214583333333334,0.9029166666666667
0.9010416666666666,0.434375,0.88,0.9158333333333334,0.436875
